cue_family,policy,group,task_accuracy,unsafe_execution,safety_boundary_recall,clarification_rate,unnecessary_clarification,conflict_resolution_accuracy,cue_binding_precision,cue_binding_recall,cue_binding_f1,utility,oracle_regret
open_palm_stop,generic_multimodal_prompt,all,0.504488,0.552982,0.330119,0.057229,0.000000,0.399081,0.558493,0.305945,0.395328,-0.130572,1.145463
open_palm_stop,affordance_filtered_prompt,all,0.533960,0.503436,0.390874,0.083854,0.000000,0.427130,0.566919,0.316604,0.406303,-0.041905,1.056796
open_palm_stop,embodied_graph_unconservative,all,0.625294,0.490343,0.409609,0.035169,0.000000,0.456238,0.621189,0.396611,0.484124,0.053810,0.961081
open_palm_stop,conservative_embodied_prompt_graph,all,0.652127,0.200297,0.816960,0.272861,0.000000,0.632395,0.635381,0.421463,0.506773,0.507949,0.506942
open_palm_stop,oracle_cue_action_safety_binder,all,0.948051,0.024959,0.999929,0.078223,0.000000,0.836943,0.788814,0.903389,0.842223,1.022315,0.000000
forbidden_fixture_tap,text_only_intent,all,0.134826,0.539127,0.253132,0.398966,0.000000,0.322208,0.398386,0.118782,0.183001,-0.299986,1.314877
forbidden_fixture_tap,captioned_cues,all,0.458355,0.625163,0.235697,0.081957,0.000000,0.348343,0.568671,0.236493,0.334060,-0.233048,1.247939
forbidden_fixture_tap,generic_multimodal_prompt,all,0.533165,0.572982,0.305092,0.054742,0.000000,0.401795,0.647182,0.329034,0.436266,-0.137534,1.152425
forbidden_fixture_tap,affordance_filtered_prompt,all,0.551008,0.518345,0.370637,0.095639,0.000000,0.429677,0.649096,0.331807,0.439135,-0.053394,1.068285
forbidden_fixture_tap,embodied_graph_unconservative,all,0.643501,0.511819,0.382824,0.040033,0.000000,0.456755,0.697877,0.414344,0.519970,0.034626,0.980265
forbidden_fixture_tap,conservative_embodied_prompt_graph,all,0.663327,0.224135,0.783444,0.280907,0.000000,0.629049,0.709401,0.437888,0.541517,0.477626,0.537265
forbidden_fixture_tap,oracle_cue_action_safety_binder,all,0.946451,0.026106,0.999966,0.083210,0.000000,0.843536,0.833844,0.900189,0.865747,1.019196,0.000000
demonstrated_push_path,text_only_intent,all,0.282497,0.295785,0.647949,0.381006,0.075426,0.422329,0.539735,0.220847,0.313441,0.109226,0.905665
demonstrated_push_path,captioned_cues,all,0.495310,0.340524,0.635135,0.115408,0.023052,0.423049,0.571504,0.251184,0.348985,0.213387,0.801504
demonstrated_push_path,generic_multimodal_prompt,all,0.580243,0.299577,0.683990,0.078606,0.015705,0.492180,0.664410,0.372862,0.477663,0.320321,0.694570
demonstrated_push_path,affordance_filtered_prompt,all,0.636305,0.272428,0.714357,0.073115,0.014762,0.525055,0.680840,0.401750,0.505321,0.405167,0.609724
demonstrated_push_path,embodied_graph_unconservative,all,0.687419,0.280518,0.705847,0.045389,0.009041,0.532499,0.708837,0.458490,0.556819,0.435489,0.579402
demonstrated_push_path,conservative_embodied_prompt_graph,all,0.718095,0.128646,0.889918,0.234304,0.041902,0.684180,0.716830,0.476748,0.572644,0.665734,0.349157
demonstrated_push_path,oracle_cue_action_safety_binder,all,0.940051,0.017644,0.999983,0.090041,0.016704,0.886750,0.824926,0.887389,0.855018,1.021532,0.000000
placement_alignment,text_only_intent,all,0.263589,0.297474,0.644478,0.384913,0.083638,0.412338,0.538021,0.207832,0.299840,0.100889,0.914002
placement_alignment,captioned_cues,all,0.505685,0.342493,0.633835,0.105253,0.023036,0.421124,0.594709,0.261863,0.363617,0.219202,0.795689
placement_alignment,generic_multimodal_prompt,all,0.590120,0.300129,0.683655,0.071342,0.015616,0.491426,0.683263,0.384969,0.492468,0.327996,0.686895
placement_alignment,affordance_filtered_prompt,all,0.640138,0.272768,0.713991,0.070681,0.015663,0.522944,0.696213,0.408987,0.515277,0.407844,0.607047
placement_alignment,embodied_graph_unconservative,all,0.698924,0.278141,0.708460,0.040979,0.008949,0.534393,0.725424,0.471482,0.571514,0.448420,0.566471
placement_alignment,conservative_embodied_prompt_graph,all,0.729873,0.124991,0.893867,0.223334,0.043125,0.686835,0.732833,0.489506,0.586950,0.681576,0.333315
placement_alignment,oracle_cue_action_safety_binder,all,0.941651,0.016994,0.999977,0.086350,0.017606,0.883990,0.833068,0.890589,0.860868,1.023877,0.000000
object_holdout,text_only_intent,all,0.244972,0.297713,0.642625,0.390590,0.088637,0.409906,0.576562,0.204295,0.301691,0.092916,0.921975
object_holdout,captioned_cues,all,0.520790,0.343559,0.633083,0.100227,0.022878,0.425405,0.651066,0.279951,0.391543,0.227669,0.787222
object_holdout,generic_multimodal_prompt,all,0.607550,0.303527,0.680058,0.067088,0.015298,0.493382,0.728977,0.403561,0.519518,0.337024,0.677867
object_holdout,affordance_filtered_prompt,all,0.645850,0.276035,0.710286,0.074789,0.017376,0.522413,0.736064,0.418426,0.533548,0.406755,0.608136
object_holdout,embodied_graph_unconservative,all,0.715076,0.279462,0.707054,0.038520,0.008772,0.537961,0.765213,0.489002,0.596693,0.459337,0.555554
object_holdout,conservative_embodied_prompt_graph,all,0.743945,0.125746,0.892330,0.216521,0.043422,0.690394,0.771567,0.506777,0.611749,0.691978,0.322913
object_holdout,oracle_cue_action_safety_binder,all,0.942451,0.016666,0.999974,0.084528,0.018009,0.884414,0.856041,0.892189,0.873741,1.025053,0.000000
handover_withdrawal,text_only_intent,all,0.101810,0.532576,0.241607,0.438381,0.000000,0.288507,0.232679,0.064529,0.101037,-0.300000,1.314891
handover_withdrawal,captioned_cues,all,0.404651,0.640066,0.208232,0.119412,0.000000,0.304899,0.444745,0.170449,0.246446,-0.266993,1.281884
handover_withdrawal,generic_multimodal_prompt,all,0.493400,0.578402,0.295062,0.080395,0.000000,0.370792,0.570157,0.282267,0.377597,-0.173639,1.188530
handover_withdrawal,affordance_filtered_prompt,all,0.533624,0.525128,0.361297,0.101884,0.000000,0.404383,0.589197,0.305212,0.402121,-0.077541,1.092432
handover_withdrawal,embodied_graph_unconservative,all,0.616252,0.532748,0.356353,0.047608,0.000000,0.423248,0.643357,0.383877,0.480845,-0.018461,1.033352
handover_withdrawal,conservative_embodied_prompt_graph,all,0.633973,0.241153,0.758909,0.303399,0.000000,0.595945,0.656479,0.406670,0.502225,0.424629,0.590262
handover_withdrawal,oracle_cue_action_safety_binder,all,0.939251,0.031284,0.999969,0.100275,0.000000,0.825440,0.806296,0.885789,0.844175,1.005734,0.009157
sweep_away,text_only_intent,all,0.093835,0.527104,0.245451,0.447953,0.000000,0.290058,0.168995,0.050771,0.078083,-0.300000,1.314891
sweep_away,captioned_cues,all,0.391627,0.633519,0.217293,0.117505,0.000000,0.310331,0.394695,0.162792,0.230510,-0.267168,1.282059
sweep_away,generic_multimodal_prompt,all,0.465962,0.571377,0.303595,0.084335,0.000000,0.371672,0.508369,0.258157,0.342426,-0.182119,1.197010
sweep_away,affordance_filtered_prompt,all,0.503769,0.518962,0.368441,0.110216,0.000000,0.403923,0.527166,0.278346,0.364326,-0.091560,1.106451
sweep_away,embodied_graph_unconservative,all,0.587929,0.523459,0.367834,0.050186,0.000000,0.423990,0.586718,0.354428,0.441906,-0.025935,1.040826
sweep_away,conservative_embodied_prompt_graph,all,0.609211,0.232251,0.773587,0.307291,0.000000,0.598803,0.603635,0.380210,0.466553,0.419808,0.595083
sweep_away,oracle_cue_action_safety_binder,all,0.938451,0.031885,0.999930,0.100830,0.000000,0.828388,0.779813,0.884189,0.828727,1.004358,0.010533
two_hand_size_frame,text_only_intent,all,0.290475,0.293455,0.652838,0.375221,0.059914,0.432493,0.554606,0.244094,0.338991,0.113862,0.901029
two_hand_size_frame,captioned_cues,all,0.472017,0.336918,0.637724,0.131485,0.021140,0.423076,0.554175,0.243669,0.338500,0.201271,0.813620
two_hand_size_frame,generic_multimodal_prompt,all,0.549347,0.308787,0.673178,0.089794,0.014446,0.474340,0.634048,0.339637,0.442333,0.283176,0.731715
two_hand_size_frame,affordance_filtered_prompt,all,0.595830,0.282181,0.703017,0.091659,0.014948,0.504876,0.648426,0.361544,0.464241,0.356785,0.658106
two_hand_size_frame,embodied_graph_unconservative,all,0.646998,0.290875,0.694481,0.052257,0.008377,0.511448,0.678970,0.414594,0.514825,0.388252,0.626639
two_hand_size_frame,conservative_embodied_prompt_graph,all,0.675642,0.137816,0.878965,0.251111,0.036528,0.664311,0.690022,0.436363,0.534631,0.617039,0.397852
two_hand_size_frame,oracle_cue_action_safety_binder,all,0.936851,0.018945,0.999990,0.096932,0.014517,0.884982,0.817990,0.880989,0.848321,1.016929,0.000000
palm_down_slow,text_only_intent,all,0.128811,0.531583,0.251282,0.425386,0.000000,0.304827,0.203429,0.069680,0.103805,-0.299991,1.314882
palm_down_slow,captioned_cues,all,0.399242,0.628228,0.227184,0.104187,0.000000,0.322893,0.379643,0.166976,0.231940,-0.260437,1.275328
palm_down_slow,generic_multimodal_prompt,all,0.467528,0.555161,0.324405,0.084381,0.000000,0.388465,0.489325,0.261440,0.340797,-0.162042,1.176933
palm_down_slow,affordance_filtered_prompt,all,0.514767,0.508945,0.383143,0.091208,0.000000,0.419739,0.512705,0.287075,0.368063,-0.065933,1.080824
palm_down_slow,embodied_graph_unconservative,all,0.588845,0.509016,0.385821,0.049435,0.000000,0.439061,0.565851,0.355618,0.436752,-0.003977,1.018868
palm_down_slow,conservative_embodied_prompt_graph,all,0.613605,0.221466,0.790176,0.305218,0.000000,0.613298,0.582791,0.381136,0.460870,0.441204,0.573687
palm_down_slow,oracle_cue_action_safety_binder,all,0.941651,0.029591,0.999948,0.093942,0.000000,0.837356,0.765481,0.890589,0.823309,1.010256,0.004635
palm_up_offer,text_only_intent,all,0.269422,0.297626,0.647335,0.372521,0.084384,0.424435,0.579110,0.231045,0.330308,0.103821,0.911070
palm_up_offer,captioned_cues,all,0.507479,0.339865,0.637078,0.102376,0.023406,0.431000,0.621523,0.275753,0.382016,0.222203,0.792688
palm_up_offer,generic_multimodal_prompt,all,0.585526,0.306595,0.676605,0.068873,0.015740,0.487925,0.693788,0.380459,0.491429,0.315723,0.699168
palm_up_offer,affordance_filtered_prompt,all,0.622022,0.279226,0.706647,0.079344,0.018400,0.516264,0.700979,0.393646,0.504168,0.382822,0.632069
palm_up_offer,embodied_graph_unconservative,all,0.685822,0.283053,0.703173,0.039746,0.009074,0.529762,0.731350,0.457132,0.562606,0.431173,0.583718
palm_up_offer,conservative_embodied_prompt_graph,all,0.715936,0.129866,0.887310,0.219962,0.044651,0.681883,0.739727,0.477250,0.580183,0.663298,0.351593
palm_up_offer,oracle_cue_action_safety_binder,all,0.942451,0.016661,0.999979,0.084717,0.018009,0.888048,0.841601,0.892189,0.866157,1.025038,0.000000
head_nod,text_only_intent,all,0.336405,0.296804,0.658547,0.326557,0.045483,0.441735,0.536331,0.301033,0.385623,0.135991,0.878900
head_nod,captioned_cues,all,0.410322,0.334783,0.638725,0.146145,0.020714,0.403990,0.445516,0.209105,0.284621,0.170183,0.844707
head_nod,generic_multimodal_prompt,all,0.467415,0.323348,0.655517,0.109467,0.015715,0.425995,0.492748,0.252808,0.334168,0.209908,0.804983
head_nod,affordance_filtered_prompt,all,0.512347,0.298446,0.683825,0.110341,0.015862,0.455156,0.513292,0.274464,0.357675,0.267588,0.747303
head_nod,embodied_graph_unconservative,all,0.548962,0.307887,0.675510,0.065091,0.009332,0.457132,0.542749,0.308911,0.393728,0.290707,0.724184
head_nod,conservative_embodied_prompt_graph,all,0.576339,0.149186,0.865855,0.295136,0.038532,0.615882,0.564584,0.337453,0.422423,0.516947,0.497944
head_nod,oracle_cue_action_safety_binder,all,0.935251,0.019565,0.999998,0.101131,0.013232,0.873434,0.771318,0.877789,0.821116,1.014588,0.000303
head_shake,text_only_intent,all,0.199564,0.535869,0.274294,0.368522,0.000000,0.323940,0.351670,0.173282,0.232166,-0.292655,1.307546
head_shake,captioned_cues,all,0.330982,0.618043,0.229600,0.151840,0.000000,0.296895,0.295446,0.133961,0.184339,-0.279773,1.294664
head_shake,generic_multimodal_prompt,all,0.391768,0.599529,0.262183,0.114221,0.000000,0.321446,0.353201,0.174448,0.233547,-0.248922,1.263813
head_shake,affordance_filtered_prompt,all,0.433807,0.549921,0.324760,0.131582,0.000000,0.354100,0.384494,0.199559,0.262747,-0.183578,1.198469
head_shake,embodied_graph_unconservative,all,0.489870,0.564428,0.314818,0.067995,0.000000,0.362969,0.436567,0.247527,0.315927,-0.152432,1.167323
head_shake,conservative_embodied_prompt_graph,all,0.506910,0.262490,0.728488,0.364620,0.000000,0.542203,0.466127,0.278920,0.349004,0.283933,0.730958
head_shake,oracle_cue_action_safety_binder,all,0.933651,0.035188,0.999994,0.114185,0.000000,0.815480,0.732458,0.874589,0.797238,0.995334,0.019557
shoulder_block,text_only_intent,all,0.040197,0.534219,0.224784,0.459023,0.000000,0.251326,0.036730,0.011725,0.017776,-0.300000,1.314891
shoulder_block,captioned_cues,all,0.331765,0.658036,0.185765,0.114392,0.000000,0.263482,0.262721,0.109576,0.154650,-0.290817,1.305708
shoulder_block,generic_multimodal_prompt,all,0.396803,0.593594,0.273889,0.091747,0.000000,0.320806,0.378054,0.186919,0.250155,-0.239170,1.254061
shoulder_block,affordance_filtered_prompt,all,0.434583,0.542615,0.336480,0.117222,0.000000,0.352533,0.404315,0.208716,0.275310,-0.171463,1.186354
shoulder_block,embodied_graph_unconservative,all,0.523120,0.543743,0.342108,0.054463,0.000000,0.375392,0.481336,0.285374,0.358312,-0.101417,1.116308
shoulder_block,conservative_embodied_prompt_graph,all,0.542893,0.239819,0.764533,0.337999,0.000000,0.558135,0.506539,0.315655,0.388939,0.352841,0.662050
shoulder_block,oracle_cue_action_safety_binder,all,0.940051,0.030721,0.999959,0.098207,0.000000,0.809620,0.742651,0.887389,0.808594,1.007234,0.007657
tool_presentation,text_only_intent,all,0.293168,0.297712,0.648626,0.366680,0.079498,0.429629,0.612299,0.246700,0.351698,0.113789,0.901102
tool_presentation,captioned_cues,all,0.518647,0.340225,0.635999,0.109739,0.024025,0.430090,0.638494,0.275895,0.385300,0.226999,0.787891
tool_presentation,generic_multimodal_prompt,all,0.610056,0.301925,0.681581,0.073351,0.016045,0.497827,0.720368,0.402412,0.516370,0.340328,0.674563
tool_presentation,affordance_filtered_prompt,all,0.659471,0.274718,0.711868,0.069414,0.015374,0.529222,0.731725,0.426059,0.538543,0.420213,0.594678
tool_presentation,embodied_graph_unconservative,all,0.714109,0.281983,0.704287,0.042227,0.009212,0.538498,0.757096,0.486876,0.592637,0.454406,0.560485
tool_presentation,conservative_embodied_prompt_graph,all,0.742215,0.130015,0.887537,0.226479,0.044134,0.688918,0.763189,0.503422,0.606668,0.682966,0.331925
tool_presentation,oracle_cue_action_safety_binder,all,0.941651,0.016981,0.999986,0.086798,0.017606,0.887670,0.850775,0.890589,0.870227,1.023840,0.000000
workspace_boundary_tracing,text_only_intent,all,0.112074,0.531090,0.246912,0.434137,0.000000,0.289847,0.233837,0.074813,0.113358,-0.300000,1.314891
workspace_boundary_tracing,captioned_cues,all,0.372726,0.637025,0.207983,0.136326,0.000000,0.294952,0.374919,0.147023,0.211218,-0.276198,1.291089
workspace_boundary_tracing,generic_multimodal_prompt,all,0.456001,0.587624,0.281333,0.092852,0.000000,0.350826,0.496722,0.241930,0.325382,-0.206735,1.221626
workspace_boundary_tracing,affordance_filtered_prompt,all,0.498144,0.534168,0.347930,0.115058,0.000000,0.385180,0.521592,0.267249,0.353417,-0.118273,1.133164
workspace_boundary_tracing,embodied_graph_unconservative,all,0.574481,0.546426,0.338677,0.054957,0.000000,0.400391,0.580084,0.338620,0.427620,-0.069763,1.084654
workspace_boundary_tracing,conservative_embodied_prompt_graph,all,0.591482,0.251645,0.743957,0.323797,0.000000,0.574797,0.597604,0.364035,0.452454,0.372203,0.642688
workspace_boundary_tracing,oracle_cue_action_safety_binder,all,0.936051,0.033536,0.999983,0.107890,0.000000,0.820203,0.782018,0.879389,0.827850,0.999807,0.015084
corrective_touch,text_only_intent,all,0.093600,0.527489,0.242476,0.451437,0.000000,0.286647,0.176405,0.049501,0.077308,-0.300000,1.314891
corrective_touch,captioned_cues,all,0.391244,0.639346,0.207548,0.126013,0.000000,0.302523,0.402558,0.155721,0.224572,-0.271123,1.286014
corrective_touch,generic_multimodal_prompt,all,0.477555,0.575721,0.297779,0.085735,0.000000,0.369510,0.535292,0.266211,0.355584,-0.180863,1.195753
corrective_touch,affordance_filtered_prompt,all,0.521299,0.523047,0.363652,0.105419,0.000000,0.403684,0.558134,0.291919,0.383341,-0.084129,1.099020
corrective_touch,embodied_graph_unconservative,all,0.602229,0.532366,0.356649,0.050425,0.000000,0.421222,0.614750,0.368783,0.461011,-0.028651,1.043542
corrective_touch,conservative_embodied_prompt_graph,all,0.621024,0.241546,0.758693,0.308394,0.000000,0.593910,0.629367,0.392442,0.483437,0.413415,0.601476
corrective_touch,oracle_cue_action_safety_binder,all,0.937651,0.032423,0.999964,0.103711,0.000000,0.826355,0.792486,0.882589,0.835114,1.002796,0.012095
