cue_family,policy,group,task_accuracy,unsafe_execution,safety_boundary_recall,clarification_rate,unnecessary_clarification,conflict_resolution_accuracy,cue_binding_precision,cue_binding_recall,cue_binding_f1,utility,oracle_regret
pointing_ray,text_only_intent,all,0.290640,0.298912,0.648305,0.360157,0.088262,0.426034,0.604025,0.247508,0.351134,0.112694,0.902197
pointing_ray,captioned_cues,all,0.544352,0.335675,0.642974,0.088176,0.021783,0.440009,0.652644,0.304863,0.415594,0.249746,0.765145
pointing_ray,generic_multimodal_prompt,all,0.624711,0.294211,0.690558,0.059844,0.014802,0.507529,0.723516,0.424600,0.535146,0.364746,0.650145
pointing_ray,affordance_filtered_prompt,all,0.666785,0.266466,0.720990,0.064774,0.016227,0.537103,0.731115,0.441187,0.550299,0.438727,0.576164
pointing_ray,embodied_graph_unconservative,all,0.729511,0.267928,0.719495,0.034200,0.008461,0.552422,0.757040,0.505576,0.606267,0.488248,0.526643
pointing_ray,conservative_embodied_prompt_graph,all,0.762270,0.114176,0.905648,0.203219,0.043599,0.705286,0.763011,0.522403,0.620188,0.725339,0.289552
pointing_ray,oracle_cue_action_safety_binder,all,0.944051,0.016016,0.999959,0.080547,0.018718,0.885201,0.846587,0.895389,0.870304,1.027445,0.000000
gaze_held_object,text_only_intent,all,0.296866,0.298704,0.649606,0.355646,0.073493,0.427217,0.607619,0.261221,0.365367,0.116673,0.898218
gaze_held_object,captioned_cues,all,0.509562,0.338510,0.637914,0.110407,0.023096,0.425095,0.622316,0.277950,0.384270,0.223032,0.791859
gaze_held_object,generic_multimodal_prompt,all,0.592685,0.306527,0.676455,0.074168,0.015499,0.482010,0.695913,0.386048,0.496609,0.320469,0.694422
gaze_held_object,affordance_filtered_prompt,all,0.635257,0.279107,0.706822,0.077670,0.016467,0.512090,0.705755,0.404603,0.514340,0.393671,0.621220
gaze_held_object,embodied_graph_unconservative,all,0.691972,0.284459,0.701612,0.042710,0.008902,0.522972,0.733281,0.463767,0.568184,0.433528,0.581363
gaze_held_object,conservative_embodied_prompt_graph,all,0.720443,0.129933,0.888024,0.229118,0.042183,0.676105,0.740945,0.482479,0.584410,0.666081,0.348810
gaze_held_object,oracle_cue_action_safety_binder,all,0.940851,0.017320,0.999983,0.088174,0.017171,0.879966,0.840511,0.888989,0.864070,1.022705,0.000000
open_palm_stop,text_only_intent,all,0.110093,0.541207,0.241546,0.413127,0.000000,0.296819,0.219532,0.068031,0.103873,-0.300000,1.314891
open_palm_stop,captioned_cues,all,0.442467,0.629151,0.233209,0.068474,0.000000,0.334369,0.469432,0.213991,0.293974,-0.240712,1.255603
