binding_regime,policy,group,task_accuracy,unsafe_execution,safety_boundary_recall,clarification_rate,unnecessary_clarification,conflict_resolution_accuracy,cue_binding_precision,cue_binding_recall,cue_binding_f1,utility,oracle_regret
ideal,text_only_intent,all,0.197557,0.412451,0.457874,0.383195,0.046326,0.360668,0.450015,0.163054,0.239376,-0.093815,1.108706
ideal,captioned_cues,all,0.492280,0.459317,0.465334,0.080985,0.010524,0.393557,0.566483,0.260398,0.356789,0.023786,0.991105
ideal,generic_multimodal_prompt,all,0.565910,0.398186,0.540374,0.059262,0.007243,0.461256,0.647655,0.366296,0.467939,0.153647,0.861244
ideal,affordance_filtered_prompt,all,0.600436,0.351421,0.596442,0.077973,0.008581,0.495505,0.655873,0.379803,0.481043,0.248543,0.766348
ideal,embodied_graph_unconservative,all,0.692603,0.335677,0.615406,0.035905,0.004168,0.529074,0.702862,0.471377,0.564302,0.348268,0.666623
ideal,conservative_embodied_prompt_graph,all,0.725156,0.103907,0.938785,0.244371,0.022384,0.709193,0.714474,0.498652,0.587365,0.715917,0.298974
ideal,oracle_cue_action_safety_binder,all,0.946791,0.020513,0.999829,0.074395,0.009606,0.851276,0.818684,0.899782,0.857320,1.025968,0.000000
mild_cue_jitter,text_only_intent,all,0.199694,0.412409,0.456384,0.387919,0.042829,0.364363,0.439266,0.161354,0.236013,-0.093930,1.108821
mild_cue_jitter,captioned_cues,all,0.461132,0.469468,0.450813,0.098804,0.011783,0.382541,0.527934,0.230348,0.320747,-0.006255,1.021146
mild_cue_jitter,generic_multimodal_prompt,all,0.538542,0.416587,0.517794,0.069590,0.007952,0.445009,0.617500,0.332517,0.432264,0.105466,0.909425
mild_cue_jitter,affordance_filtered_prompt,all,0.577506,0.371808,0.571493,0.084036,0.008533,0.479143,0.629811,0.350424,0.450302,0.198808,0.816083
mild_cue_jitter,embodied_graph_unconservative,all,0.659202,0.366328,0.579346,0.041215,0.004539,0.504163,0.677472,0.432646,0.528062,0.275010,0.739881
mild_cue_jitter,conservative_embodied_prompt_graph,all,0.688652,0.137955,0.892479,0.256834,0.022855,0.678558,0.690546,0.459627,0.551906,0.632033,0.382858
mild_cue_jitter,oracle_cue_action_safety_binder,all,0.944191,0.021968,0.999967,0.081755,0.009219,0.855469,0.812915,0.894982,0.851977,1.021505,0.000000
severe_cue_jitter,text_only_intent,all,0.205765,0.413353,0.450818,0.399021,0.034636,0.371025,0.424508,0.160403,0.232830,-0.093484,1.108375
severe_cue_jitter,captioned_cues,all,0.408819,0.490940,0.418544,0.133998,0.012524,0.361548,0.453646,0.180555,0.258303,-0.046308,1.061199
severe_cue_jitter,generic_multimodal_prompt,all,0.491735,0.454884,0.469384,0.091439,0.008416,0.413562,0.558738,0.275345,0.368898,0.022977,0.991914
severe_cue_jitter,affordance_filtered_prompt,all,0.538147,0.416855,0.515390,0.097280,0.007872,0.445427,0.580131,0.300454,0.395879,0.100225,0.914666
severe_cue_jitter,embodied_graph_unconservative,all,0.596955,0.431755,0.501272,0.053932,0.004915,0.452474,0.623392,0.359947,0.456380,0.127987,0.886904
severe_cue_jitter,conservative_embodied_prompt_graph,all,0.619140,0.210473,0.788572,0.285746,0.021824,0.612881,0.638558,0.384175,0.479730,0.457879,0.557012
severe_cue_jitter,oracle_cue_action_safety_binder,all,0.938291,0.025172,1.000000,0.099127,0.008016,0.863728,0.802608,0.884182,0.841423,1.011338,0.003553
object_distractors,text_only_intent,all,0.203550,0.411651,0.453993,0.397403,0.037014,0.364874,0.388681,0.153959,0.220555,-0.093293,1.108184
object_distractors,captioned_cues,all,0.430449,0.478383,0.437650,0.113946,0.011427,0.371926,0.456136,0.203088,0.281045,-0.029927,1.044818
object_distractors,generic_multimodal_prompt,all,0.499949,0.430235,0.500128,0.085088,0.008149,0.428614,0.547155,0.292578,0.381277,0.057616,0.957275
object_distractors,affordance_filtered_prompt,all,0.544490,0.391014,0.547508,0.093644,0.008123,0.460534,0.565181,0.314745,0.404324,0.143018,0.871873
object_distractors,embodied_graph_unconservative,all,0.612375,0.393754,0.546714,0.050085,0.004705,0.476441,0.611011,0.380358,0.468852,0.195949,0.818942
object_distractors,conservative_embodied_prompt_graph,all,0.640466,0.168867,0.849947,0.278839,0.021711,0.645487,0.626722,0.406558,0.493185,0.542816,0.472075
object_distractors,oracle_cue_action_safety_binder,all,0.940091,0.024248,0.999999,0.092326,0.008392,0.857581,0.785621,0.887382,0.833407,1.014563,0.000328
cue_text_conflict,text_only_intent,all,0.168423,0.418452,0.438138,0.405587,0.038383,0.329149,0.369780,0.132588,0.195189,-0.098186,1.113077
cue_text_conflict,captioned_cues,all,0.442334,0.491417,0.422013,0.106755,0.010894,0.344382,0.482720,0.210873,0.293523,-0.028710,1.043601
cue_text_conflict,generic_multimodal_prompt,all,0.520696,0.437143,0.492105,0.076550,0.007454,0.408839,0.582569,0.315366,0.409211,0.066746,0.948145
cue_text_conflict,affordance_filtered_prompt,all,0.562645,0.394786,0.542646,0.092419,0.008187,0.442183,0.598695,0.337119,0.431350,0.151925,0.862966
cue_text_conflict,embodied_graph_unconservative,all,0.640529,0.393239,0.547260,0.045360,0.004276,0.463413,0.645757,0.411927,0.502995,0.219340,0.795551
cue_text_conflict,conservative_embodied_prompt_graph,all,0.665847,0.162196,0.859892,0.275802,0.020279,0.635589,0.658320,0.435381,0.524128,0.573946,0.440945
cue_text_conflict,oracle_cue_action_safety_binder,all,0.940791,0.023853,0.999999,0.090930,0.008509,0.835798,0.797254,0.888582,0.840444,1.015709,0.000000
safety_cue_partial_miss,text_only_intent,all,0.205860,0.424916,0.428206,0.406348,0.031684,0.355625,0.434212,0.164345,0.238442,-0.093447,1.108338
safety_cue_partial_miss,captioned_cues,all,0.442962,0.525180,0.376593,0.125833,0.010468,0.343846,0.500813,0.214842,0.300692,-0.044409,1.059300
safety_cue_partial_miss,generic_multimodal_prompt,all,0.520133,0.491908,0.424115,0.088495,0.007117,0.394435,0.592843,0.311807,0.408672,0.006095,1.008796
safety_cue_partial_miss,affordance_filtered_prompt,all,0.561263,0.464556,0.455530,0.102091,0.007457,0.416944,0.607768,0.331820,0.429273,0.054507,0.960384
safety_cue_partial_miss,embodied_graph_unconservative,all,0.603558,0.487079,0.435284,0.052213,0.004108,0.413238,0.629103,0.363225,0.460545,0.062163,0.952728
safety_cue_partial_miss,conservative_embodied_prompt_graph,all,0.618866,0.276619,0.690072,0.287598,0.018198,0.551345,0.635881,0.373973,0.470963,0.350159,0.664732
safety_cue_partial_miss,oracle_cue_action_safety_binder,all,0.935191,0.026672,1.000000,0.112545,0.007458,0.859583,0.804099,0.878982,0.839875,1.005674,0.009217
cross_user_style_shift,text_only_intent,all,0.212479,0.413500,0.449728,0.401170,0.033080,0.374411,0.452314,0.170955,0.248128,-0.092145,1.107036
cross_user_style_shift,captioned_cues,all,0.435944,0.492401,0.417655,0.128860,0.011375,0.369461,0.500844,0.207701,0.293632,-0.036402,1.051293
