embodiment,policy,group,task_accuracy,unsafe_execution,safety_boundary_recall,clarification_rate,unnecessary_clarification,conflict_resolution_accuracy,cue_binding_precision,cue_binding_recall,cue_binding_f1,utility,oracle_regret
mobile_manipulator,captioned_cues,all,0.410667,0.499653,0.409509,0.120228,0.012110,0.349933,0.450790,0.188363,0.265703,-0.046101,1.060992
mobile_manipulator,generic_multimodal_prompt,all,0.484578,0.463710,0.459034,0.084363,0.008234,0.397781,0.542680,0.272323,0.362660,0.012873,1.002018
mobile_manipulator,affordance_filtered_prompt,all,0.523129,0.426166,0.503368,0.100437,0.008999,0.426951,0.559257,0.291197,0.382982,0.077233,0.937658
mobile_manipulator,embodied_graph_unconservative,all,0.586582,0.434403,0.498112,0.050200,0.004778,0.438626,0.603573,0.349403,0.442593,0.120092,0.894799
mobile_manipulator,conservative_embodied_prompt_graph,all,0.608949,0.212672,0.784766,0.283000,0.022276,0.597626,0.619243,0.373228,0.465744,0.445266,0.569625
mobile_manipulator,oracle_cue_action_safety_binder,all,0.940363,0.023948,1.000000,0.096414,0.008421,0.855990,0.794641,0.888011,0.838735,1.013418,0.001473
dexterous_hand,text_only_intent,all,0.209087,0.413681,0.450519,0.397207,0.037725,0.362406,0.433901,0.161524,0.235413,-0.092412,1.107303
dexterous_hand,captioned_cues,all,0.462853,0.481658,0.433777,0.109792,0.010957,0.373371,0.517494,0.226017,0.314621,-0.014850,1.029741
dexterous_hand,generic_multimodal_prompt,all,0.544199,0.427617,0.503484,0.078141,0.007510,0.440353,0.616056,0.338135,0.436621,0.092698,0.922193
dexterous_hand,affordance_filtered_prompt,all,0.591641,0.387921,0.551393,0.084692,0.007246,0.473243,0.632487,0.362675,0.461004,0.183229,0.831662
dexterous_hand,embodied_graph_unconservative,all,0.659353,0.391859,0.548750,0.045786,0.004320,0.488573,0.671437,0.430650,0.524739,0.234183,0.780708
dexterous_hand,conservative_embodied_prompt_graph,all,0.685665,0.168264,0.848420,0.266847,0.020432,0.654368,0.681954,0.451859,0.543559,0.576969,0.437922
dexterous_hand,oracle_cue_action_safety_binder,all,0.940363,0.024058,0.999956,0.092104,0.008421,0.855214,0.808204,0.888011,0.846230,1.012197,0.002694
assistive_tabletop_arm,text_only_intent,all,0.193678,0.415956,0.446666,0.397318,0.037713,0.358894,0.417612,0.156425,0.227598,-0.094898,1.109789
assistive_tabletop_arm,captioned_cues,all,0.436326,0.488997,0.423954,0.113959,0.011412,0.363854,0.491447,0.210807,0.295051,-0.029406,1.044297
assistive_tabletop_arm,generic_multimodal_prompt,all,0.511066,0.447037,0.479772,0.080587,0.007788,0.417300,0.581001,0.302488,0.397845,0.049427,0.965464
assistive_tabletop_arm,affordance_filtered_prompt,all,0.548952,0.407896,0.526293,0.096753,0.008530,0.447378,0.594753,0.320157,0.416247,0.124142,0.890749
assistive_tabletop_arm,embodied_graph_unconservative,all,0.618142,0.412716,0.524049,0.047975,0.004498,0.462440,0.638397,0.385127,0.480426,0.176342,0.838549
assistive_tabletop_arm,conservative_embodied_prompt_graph,all,0.642438,0.189196,0.819082,0.274938,0.021240,0.626036,0.652024,0.408751,0.502492,0.513198,0.501693
assistive_tabletop_arm,oracle_cue_action_safety_binder,all,0.940363,0.024014,0.999994,0.093807,0.008421,0.855520,0.802790,0.888011,0.843253,1.016454,0.000000
