embodiment,policy,group,task_accuracy,unsafe_execution,safety_boundary_recall,clarification_rate,unnecessary_clarification,conflict_resolution_accuracy,cue_binding_precision,cue_binding_recall,cue_binding_f1,utility,oracle_regret
single_arm_gripper,text_only_intent,all,0.200570,0.412503,0.452409,0.397261,0.037707,0.364080,0.441935,0.163956,0.239178,-0.092962,1.107853
single_arm_gripper,captioned_cues,all,0.462226,0.478033,0.438583,0.107777,0.010731,0.378003,0.530131,0.233594,0.324293,-0.008804,1.023695
single_arm_gripper,generic_multimodal_prompt,all,0.537627,0.430097,0.500650,0.076962,0.007377,0.436997,0.616499,0.332830,0.432283,0.089840,0.925051
single_arm_gripper,affordance_filtered_prompt,all,0.574805,0.389397,0.549297,0.093197,0.008083,0.467944,0.627810,0.349236,0.448810,0.172389,0.842502
single_arm_gripper,embodied_graph_unconservative,all,0.649741,0.390760,0.550153,0.045887,0.004247,0.486434,0.670299,0.420923,0.517116,0.233980,0.780911
single_arm_gripper,conservative_embodied_prompt_graph,all,0.675978,0.165121,0.853182,0.267157,0.020234,0.654679,0.682154,0.444346,0.538149,0.580132,0.434759
single_arm_gripper,oracle_cue_action_safety_binder,all,0.940363,0.024079,0.999922,0.091306,0.008421,0.855070,0.810931,0.888011,0.847722,1.017858,0.000000
dual_arm_manipulator,text_only_intent,all,0.204782,0.414814,0.448659,0.397120,0.037706,0.360748,0.425873,0.159160,0.231720,-0.092832,1.107723
dual_arm_manipulator,captioned_cues,all,0.452157,0.485305,0.428893,0.111944,0.011215,0.368597,0.504224,0.218223,0.304612,-0.020999,1.035890
dual_arm_manipulator,generic_multimodal_prompt,all,0.532065,0.434872,0.494575,0.079439,0.007665,0.431737,0.602114,0.324699,0.421888,0.076853,0.938038
dual_arm_manipulator,affordance_filtered_prompt,all,0.577851,0.395826,0.541598,0.087107,0.007442,0.463782,0.618707,0.348167,0.445587,0.162950,0.851941
dual_arm_manipulator,embodied_graph_unconservative,all,0.644603,0.400444,0.538551,0.046648,0.004412,0.478469,0.658738,0.414178,0.508586,0.212448,0.802443
dual_arm_manipulator,conservative_embodied_prompt_graph,all,0.670112,0.177296,0.835717,0.270188,0.020839,0.642938,0.670151,0.435933,0.528244,0.552371,0.462520
dual_arm_manipulator,oracle_cue_action_safety_binder,all,0.940363,0.024036,0.999981,0.092950,0.008421,0.855366,0.805396,0.888011,0.844688,1.014528,0.000363
mobile_manipulator,text_only_intent,all,0.187118,0.419283,0.441135,0.397268,0.037686,0.353954,0.394318,0.149404,0.216702,-0.097110,1.112001
