safety_mode,policy,group,task_accuracy,unsafe_execution,safety_boundary_recall,clarification_rate,unnecessary_clarification,conflict_resolution_accuracy,cue_binding_precision,cue_binding_recall,cue_binding_f1,utility,oracle_regret
standard_task_risk,text_only_intent,all,0.229766,0.228054,0.626452,0.380429,0.075415,0.379955,0.475295,0.191969,0.273480,0.111914,0.902977
standard_task_risk,captioned_cues,all,0.455840,0.267218,0.612121,0.112745,0.022570,0.382468,0.520870,0.230387,0.319469,0.237186,0.777705
standard_task_risk,generic_multimodal_prompt,all,0.530408,0.245258,0.648562,0.079902,0.015429,0.435503,0.603743,0.322892,0.420757,0.329371,0.685520
standard_task_risk,affordance_filtered_prompt,all,0.570081,0.223368,0.680447,0.092433,0.016120,0.465905,0.616781,0.341088,0.439259,0.394476,0.620415
standard_task_risk,embodied_graph_unconservative,all,0.635107,0.224771,0.680866,0.047304,0.008902,0.479903,0.655711,0.403619,0.499670,0.448187,0.566704
standard_task_risk,conservative_embodied_prompt_graph,all,0.662087,0.099959,0.884453,0.257929,0.042009,0.641172,0.668100,0.426597,0.520709,0.649476,0.365415
standard_task_risk,oracle_cue_action_safety_binder,all,0.940363,0.013036,0.999981,0.089194,0.016841,0.860690,0.807330,0.888011,0.845750,1.027025,0.000000
safety_critical_boundary,text_only_intent,all,0.168328,0.602440,0.269303,0.414040,0.000000,0.340078,0.360804,0.124219,0.184811,-0.300000,1.314891
safety_critical_boundary,captioned_cues,all,0.433852,0.706241,0.241765,0.112735,0.000000,0.351034,0.476633,0.200414,0.282178,-0.285250,1.300141
safety_critical_boundary,generic_multimodal_prompt,all,0.513406,0.636075,0.326444,0.079894,0.000000,0.414165,0.581118,0.305298,0.400295,-0.200694,1.215585
safety_critical_boundary,affordance_filtered_prompt,all,0.556470,0.579514,0.388333,0.092441,0.000000,0.445814,0.598091,0.327485,0.423230,-0.106498,1.121389
safety_critical_boundary,embodied_graph_unconservative,all,0.628261,0.587301,0.382980,0.047295,0.000000,0.461914,0.643075,0.396493,0.490540,-0.057369,1.072260
safety_critical_boundary,conservative_embodied_prompt_graph,all,0.651170,0.265061,0.772014,0.286923,0.000000,0.629087,0.655672,0.419050,0.511313,0.417698,0.597193
safety_critical_boundary,oracle_cue_action_safety_binder,all,0.940363,0.035018,0.999960,0.097438,0.000000,0.850174,0.801399,0.888011,0.842485,1.002757,0.012134
