policy,task_accuracy,unsafe_execution,safety_boundary_recall,clarification_rate,unnecessary_clarification,conflict_resolution_accuracy,cue_binding_precision,cue_binding_recall,cue_binding_f1,utility,oracle_regret
text_only_intent,0.199047,0.415247,0.447877,0.397235,0.037708,0.360017,0.422610,0.158094,0.230107,-0.094043,1.108934
captioned_cues,0.444846,0.486729,0.426943,0.112740,0.011285,0.366751,0.499311,0.215401,0.300966,-0.024032,1.038923
generic_multimodal_prompt,0.521907,0.440667,0.487503,0.079898,0.007715,0.424834,0.592531,0.314095,0.410557,0.064338,0.950553
affordance_filtered_prompt,0.563276,0.401441,0.534390,0.092437,0.008060,0.455860,0.607482,0.334286,0.431259,0.143989,0.870902
embodied_graph_unconservative,0.631684,0.406036,0.531923,0.047299,0.004451,0.470909,0.649388,0.400056,0.495103,0.195409,0.819482
conservative_embodied_prompt_graph,0.656628,0.182510,0.828233,0.272426,0.021004,0.635129,0.661883,0.422823,0.516010,0.533587,0.481304
oracle_cue_action_safety_binder,0.940363,0.024027,0.999971,0.093316,0.008421,0.855432,0.804353,0.888011,0.844114,1.014891,0.000000
